experiment,sequence,rep,IDX,t_compress,t_decompress
IT-DL-PCC,soldier,29,3,26.461536169052124,6.925828218460083
IT-DL-PCC,soldier,0,4,339.55521392822266,93.41787242889404
IT-DL-PCC,soldier,1,4,340.5670940876007,93.38432788848877
IT-DL-PCC,soldier,2,4,340.1762523651123,93.43264102935791
IT-DL-PCC,soldier,3,4,340.0452194213867,93.33418440818787
IT-DL-PCC,soldier,4,4,342.7723443508148,93.37602543830872
IT-DL-PCC,soldier,5,4,340.58524537086487,93.25509572029114
IT-DL-PCC,soldier,6,4,340.2476453781128,90.56281590461731
IT-DL-PCC,soldier,7,4,339.88900566101074,91.40279531478882
IT-DL-PCC,soldier,8,4,340.9710736274719,93.35877203941345
IT-DL-PCC,soldier,9,4,340.1901230812073,93.31010842323303
IT-DL-PCC,soldier,10,4,341.84484362602234,93.48392176628113
IT-DL-PCC,soldier,11,4,340.68298506736755,93.45104026794434
IT-DL-PCC,soldier,12,4,340.2895369529724,93.31886291503906
IT-DL-PCC,soldier,13,4,344.6897346973419,93.34182357788086
IT-DL-PCC,soldier,14,4,340.34841775894165,93.3464150428772
IT-DL-PCC,soldier,15,4,340.2928385734558,93.37009143829346
IT-DL-PCC,soldier,16,4,342.0005416870117,93.38073086738586
IT-DL-PCC,soldier,17,4,340.12276220321655,93.54891777038574
IT-DL-PCC,soldier,18,4,340.26392102241516,93.2993848323822
IT-DL-PCC,soldier,19,4,345.0146701335907,93.39293313026428
IT-DL-PCC,soldier,20,4,341.0996036529541,93.31029772758484
IT-DL-PCC,soldier,21,4,340.4099085330963,93.43013858795166
IT-DL-PCC,soldier,22,4,340.439400434494,93.52417612075806
IT-DL-PCC,soldier,23,4,339.4695999622345,93.34841632843018
IT-DL-PCC,soldier,24,4,339.9816291332245,93.33189630508423
IT-DL-PCC,soldier,25,4,340.51355600357056,93.39231014251709
IT-DL-PCC,soldier,26,4,340.3533298969269,93.32761526107788
IT-DL-PCC,soldier,27,4,339.9819622039795,93.45794820785522
IT-DL-PCC,soldier,28,4,341.19134736061096,93.27660512924194
IT-DL-PCC,soldier,29,4,340.8770544528961,93.34042263031006
V-PCC,soldier,0,0,64.915,2.189
V-PCC,soldier,1,0,65.345,2.336
V-PCC,soldier,2,0,66.191,2.134
V-PCC,soldier,3,0,64.765,2.125
V-PCC,soldier,4,0,64.957,2.174
V-PCC,soldier,5,0,65.444,2.327
V-PCC,soldier,6,0,65.968,2.086
V-PCC,soldier,7,0,64.732,2.122
V-PCC,soldier,8,0,65.146,2.209
V-PCC,soldier,9,0,65.606,2.324
V-PCC,soldier,10,0,65.864,2.134
V-PCC,soldier,11,0,64.67,2.144
V-PCC,soldier,12,0,65.013,2.232
V-PCC,soldier,13,0,65.519,2.34
V-PCC,soldier,14,0,65.987,2.071
V-PCC,soldier,15,0,65.201,2.175
V-PCC,soldier,16,0,64.977,2.222
V-PCC,soldier,17,0,65.493,2.362
V-PCC,soldier,18,0,66.047,2.151
V-PCC,soldier,19,0,64.558,2.152
V-PCC,soldier,20,0,65.067,2.248
V-PCC,soldier,21,0,65.591,2.351
V-PCC,soldier,22,0,65.975,2.09
V-PCC,soldier,23,0,64.667,2.131
V-PCC,soldier,24,0,64.837,2.228
V-PCC,soldier,25,0,65.379,2.366
V-PCC,soldier,26,0,66.004,2.103
V-PCC,soldier,27,0,64.515,2.136
V-PCC,soldier,28,0,65.184,2.267
V-PCC,soldier,29,0,65.509,2.37
V-PCC,soldier,0,1,83.851,2.273
V-PCC,soldier,1,1,84.121,2.352
V-PCC,soldier,2,1,84.842,2.461
V-PCC,soldier,3,1,85.17,2.226
V-PCC,soldier,4,1,83.864,2.269
V-PCC,soldier,5,1,84.229,2.347
V-PCC,soldier,6,1,84.469,2.484
V-PCC,soldier,7,1,85.346,2.212
V-PCC,soldier,8,1,83.847,2.294
V-PCC,soldier,9,1,84.098,2.3
V-PCC,soldier,10,1,84.705,2.435
V-PCC,soldier,11,1,85.008,2.22
V-PCC,soldier,12,1,83.937,2.241
V-PCC,soldier,13,1,84.206,2.36
V-PCC,soldier,14,1,84.462,2.448
V-PCC,soldier,15,1,85.15,2.208
V-PCC,soldier,16,1,83.904,2.228
V-PCC,soldier,17,1,84.141,2.293
V-PCC,soldier,18,1,84.696,2.469
V-PCC,soldier,19,1,85.031,2.177
V-PCC,soldier,20,1,83.765,2.277
V-PCC,soldier,21,1,84.122,2.327
V-PCC,soldier,22,1,84.75,2.459
V-PCC,soldier,23,1,85.146,2.179
V-PCC,soldier,24,1,83.815,2.229
V-PCC,soldier,25,1,84.071,2.31
V-PCC,soldier,26,1,85.024,2.462
V-PCC,soldier,27,1,83.753,2.188
V-PCC,soldier,28,1,84.259,2.274
V-PCC,soldier,29,1,84.638,2.322
V-PCC,soldier,0,2,299.625,2.173
V-PCC,soldier,1,2,298.905,2.21
V-PCC,soldier,2,2,298.064,2.219
V-PCC,soldier,3,2,297.34,2.197
V-PCC,soldier,4,2,297.564,2.382
V-PCC,soldier,5,2,299.33,2.168
V-PCC,soldier,6,2,298.43,2.134
V-PCC,soldier,7,2,297.555,2.179
V-PCC,soldier,8,2,298.89,2.285
V-PCC,soldier,9,2,299.473,2.392
V-PCC,soldier,10,2,298.246,2.225
V-PCC,soldier,11,2,299.225,2.205
V-PCC,soldier,12,2,298.805,2.384
V-PCC,soldier,13,2,298.944,2.155
V-PCC,soldier,14,2,298.484,2.183
V-PCC,soldier,15,2,298.414,2.256
V-PCC,soldier,16,2,298.292,2.412
V-PCC,soldier,17,2,298.749,2.185
V-PCC,soldier,18,2,298.615,2.156
V-PCC,soldier,19,2,298.093,2.275
V-PCC,soldier,20,2,298.652,2.412
V-PCC,soldier,21,2,299.395,2.116
V-PCC,soldier,22,2,298.722,2.174
V-PCC,soldier,23,2,298.223,2.242
V-PCC,soldier,24,2,298.46,2.376
V-PCC,soldier,25,2,299.251,2.106
V-PCC,soldier,26,2,298.522,2.142
V-PCC,soldier,27,2,298.01,2.242
V-PCC,soldier,28,2,298.76,2.35
V-PCC,soldier,29,2,299.697,2.151
V-PCC,soldier,0,3,477.889,2.194
V-PCC,soldier,1,3,478.377,2.348
V-PCC,soldier,2,3,478.261,2.098
V-PCC,soldier,3,3,478.977,2.113
V-PCC,soldier,4,3,477.912,2.184
V-PCC,soldier,5,3,477.775,2.317
V-PCC,soldier,6,3,479.382,2.096
V-PCC,soldier,7,3,478.307,2.139
V-PCC,soldier,8,3,477.213,2.154
V-PCC,soldier,9,3,477.403,2.129
