metric,pointCloud,method,BD-PSNR,BD-Rate
sym_d2_psnr,shiva,JPEG-Pleno,-1.1814072063671845,122.78475679082406
sym_d2_psnr,Arco,G-PCC,-6.998504032476454,622.4793509374742
sym_d2_psnr,Arco,V-PCC,-3.018543133348806,278.15327598022384
sym_d2_psnr,Arco,IT-DL-PCC,-3.3977574445134695,424.9652215548745
sym_d2_psnr,Arco,JPEG-Pleno,-4.076773405752147,179.51183603867472
sym_yuv_psnr,soldier,G-PCC,0.5075720488390386,-14.319093332623755
sym_yuv_psnr,soldier,V-PCC,-3.20624008597884,132.50719336331434
sym_yuv_psnr,soldier,IT-DL-PCC,1.071047714092392,-27.56096680569673
sym_yuv_psnr,soldier,JPEG-Pleno,-1.0874415021065513,27.91792578448591
sym_yuv_psnr,bouquet,G-PCC,-0.06620244156860007,25.334239977623383
sym_yuv_psnr,bouquet,V-PCC,-0.9086980757487948,92.1492582129678
sym_yuv_psnr,bouquet,IT-DL-PCC,1.9132668455664816,-41.024377564534355
sym_yuv_psnr,bouquet,JPEG-Pleno,0.9019126519590867,-14.13769845588243
sym_yuv_psnr,stmichael,G-PCC,-0.10712306591330355,-6.054475002527382
sym_yuv_psnr,stmichael,V-PCC,-0.8575774089865558,42.822185439768504
sym_yuv_psnr,stmichael,IT-DL-PCC,0.8545405883416961,-21.8509107752929
sym_yuv_psnr,stmichael,JPEG-Pleno,0.3640171577445994,-16.615722195658645
sym_yuv_psnr,thaidancer,G-PCC,-0.9040712716229325,32.26670265934728
sym_yuv_psnr,thaidancer,V-PCC,-5.0269553450285285,183.20979366683176
sym_yuv_psnr,thaidancer,IT-DL-PCC,1.1136063468828648,-38.24483315600533
sym_yuv_psnr,thaidancer,JPEG-Pleno,-2.971311545703447,81.42711423383075
sym_yuv_psnr,Facade,G-PCC,-2.6479795199892857,-99.61559463327517
sym_yuv_psnr,Facade,V-PCC,-3.4624918316222275,-82.63081472404198
sym_yuv_psnr,Facade,IT-DL-PCC,-1.5748380290578632,-98.45506906205598
sym_yuv_psnr,Facade,JPEG-Pleno,-3.6034049104944015,1149.1563790988212
sym_yuv_psnr,CITISUP,G-PCC,-1.436667316780737,105.98419700098627
sym_yuv_psnr,CITISUP,V-PCC,-1.7821955040700097,155.2395618513881
sym_yuv_psnr,CITISUP,IT-DL-PCC,0.8037572083338953,-50.12898025222555
sym_yuv_psnr,CITISUP,JPEG-Pleno,-0.9337390163011633,88.93227075605775
sym_yuv_psnr,House,G-PCC,-2.2561753555238906,-59.02161886078494
sym_yuv_psnr,House,V-PCC,-2.798619520042833,127.06933421568452
sym_yuv_psnr,House,IT-DL-PCC,1.1213719086015261,-85.6152302687306
sym_yuv_psnr,House,JPEG-Pleno,-1.4016760459180477,-59.450046681714966
sym_yuv_psnr,boxer,G-PCC,0.035205623751020806,9.862711774794741
sym_yuv_psnr,boxer,V-PCC,-2.9556328025751917,123.1459996014895
